,SMILES,InChI,EndPt,ReadyBiodeg,dist
0,CCCCCCCCCCCCCCCCCC(=O)OCC(O)CO,VBICKXHEKHSIBG-UHFFFAOYSA-N,RB,1,3.5520880676982505
1,NC(=N)N[N+](=O)[O-],IDCPFAYURAQKDZ-UHFFFAOYSA-N,NRB,0,11.823074412774028
2,OCCN(S(=O)(=O)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)CC,HINASMOVWHGCAK-UHFFFAOYSA-N,NRB,0,2.2887681667788695
3,CCCCCCCCCCCCCCCO,REIUXOLGHVXAEO-UHFFFAOYSA-N,RB,1,1.1523336899237269
4,CCO[P]([S-])(=S)OCC,IRDLUHRVLVEUHA-UHFFFAOYSA-M,NRB,0,5.3025309461518395
5,CC(C)Cc1ccc(C(C)C(=O)O)cc1,HEFNNWSXXWATRW-UHFFFAOYSA-N,NRB,0,2.8397330048878118
6,Nc1ccncc1,NUKYPUAOHBNCPY-UHFFFAOYSA-N,NRB,0,3.3508024141914468
7,CC(=O)CC(=O)c1ccccc1,CVBUKMMMRLOKQR-UHFFFAOYSA-N,RB,1,4.19865944706532
8,CN1CCN(CC1)CCCN1c2ccccc2Sc2c1cc(Cl)cc2,WIKYUJGCLQQFNW-UHFFFAOYSA-N,NRB,0,9.224106100290266
9,COc1ccc(cc1N=Nc1c(O)c(cc2c1cccc2)C(=O)Nc1cc(Cl)c(cc1OC)OC)S(=O)(=O)N(CC)CC,LMULDSDQRQVZMW-UHFFFAOYSA-N,NRB,0,11.86542945330652
10,CC(=O)NCc1ccccc1,UZJLYRRDVFWSGA-UHFFFAOYSA-N,RB,1,3.3239710952445343
11,OCS(=O)(=O)O,DETXZQGDWUJKMO-UHFFFAOYSA-N,RB,1,4.10346158768433
12,CC(C)(C)c1ccc2C(=O)c3ccccc3C(=O)c2c1,YTPSFXZMJKMUJE-UHFFFAOYSA-N,NRB,0,2.216089742183049
13,O=S(=O)(Oc1ccc(Cl)cc1)c1ccc(Cl)cc1,RZXLPPRPEOUENN-UHFFFAOYSA-N,NRB,0,4.772457861749827
14,CC(C)(C)OOC(C)(C)c1ccc(cc1)C(C)(C)OOC(C)(C)C,GWQOYRSARAWVTC-UHFFFAOYSA-N,NRB,0,5.695416001130653
15,CCCCCCCCCCN,MHZGKXUYDGKKIU-UHFFFAOYSA-N,RB,1,2.464262638622864
16,Nc1ccc(Nc2ccccc2)cc1,ATGUVEKSASEFFO-UHFFFAOYSA-N,NRB,0,4.770813984164193
17,CC(C)C(=O)C,SYBYTAAJFKOIEJ-UHFFFAOYSA-N,RB,1,1.9858311922036413
18,CCCCCCCCC=CCCCCCCCC(=O)N,FATBGEAMYMYZAF-UHFFFAOYSA-N,NRB,0,2.7755289780431007
19,COCCCNc1nc(NCCCOC)c(c(c1/N=N/c1ccc(cc1Cl)/N=N/c1ccccc1)C)C#N,XBRHSBAEGUSQAN-WXBFSDFVSA-N,NRB,0,10.854639139633113
20,CN(O)CCO,KNYGFYTZAQKWSZ-UHFFFAOYSA-N,RB,1,9.919060047194373
21,CNC(=O)Oc1cc(C)cc(C)c1,CVQODEWAPZVVBU-UHFFFAOYSA-N,NRB,0,3.727263777354153
22,CCC(=O)Nc1ccccc1,ZTHRQJQJODGZHV-UHFFFAOYSA-N,NRB,0,2.9969663436195755
23,CC(=CC(=O)C)C,SHOJXDKTYKFBRD-UHFFFAOYSA-N,RB,1,3.1722145257709666
24,ClC(Cl)Cl,HEDRZPFGACZZDS-UHFFFAOYSA-N,NRB,0,2.63995025683464
25,FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)C(F)(F)F,GHBZJUJZNRLHBI-UHFFFAOYSA-N,NRB,0,9.933519307199228
26,CC(=NNC(=S)N)C,FQUDPIIGGVBZEQ-UHFFFAOYSA-N,NRB,0,14.311422259703228
27,CC(C)(c1cc(Br)c(OCCO)c(Br)c1)c2cc(Br)c(OCCO)c(Br)c2,RVHUMFJSCJBNGS-UHFFFAOYSA-N,NRB,0,6.386923499947443
28,CC(C)(C)c1cc(CCC(=O)OCC(COC(=O)CCc2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C)(COC(=O)CCc3cc(c(O)c(c3)C(C)(C)C)C(C)(C)C)COC(=O)CCc4cc(c(O)c(c4)C(C)(C)C)C(C)(C)C)cc(c1O)C(C)(C)C,BGYHLZZASRKEJE-UHFFFAOYSA-N,NRB,0,24.919448700196668
29,OCCOC(=O)c1ccc(cc1)C(=O)OCCO,QPKOBORKPHRBPS-UHFFFAOYSA-N,RB,1,5.138317891421979
30,CCCCC(CC)CO,YIWUKEYIRIRTPP-UHFFFAOYSA-N,RB,1,1.3900577227794695
31,COc1cc(NC(=O)CC(C)=O)c(OC)cc1Cl,MOUVJGIRLPZEES-UHFFFAOYSA-N,NRB,0,6.85925511999574
32,CCCCCCCCCCCCOCCCCCCCCCCCC,CMCBDXRRFKYBDG-UHFFFAOYSA-N,RB,1,2.8622331619752432
33,Nc1ccc(cc1)Oc1ccc(N)cc1,HLBLWEWZXPIGSM-UHFFFAOYSA-N,NRB,0,5.000092682794148
34,NCCC[CH]1OC[C]2(CO1)CO[CH](CCCN)OC2,ANOPCGQVRXJHHD-UHFFFAOYSA-N,NRB,0,9.17238083877906
35,CC(c1ccccc1)c2ccc(O)c(C(C)c3ccccc3)c2C(C)c4ccccc4,SFJOBYZKUSLNIG-UHFFFAOYSA-N,NRB,0,5.519902816534763
36,Nc1c(N=Nc2ccc(cc2)S(=O)(=O)CCOS(=O)(=O)O)c(cc3cc(c(N=Nc4ccc(cc4)S(=O)(=O)CCOS(=O)(=O)O)c(O)c13)S(=O)(=O)O)S(=O)(=O)O,OTKRGWXWWWNPKU-UHFFFAOYSA-N,NRB,0,22.173045135164642
37,Nc1ccc(Cl)cc1C(O)=O,IFXKXCLVKQVVDI-UHFFFAOYSA-N,NRB,0,2.3179022573483388
38,c1cccc(C(N)CONC2C3N(C2=O)C(C(O)=O)C(C)(C)S3)c1,YGAFGYOBNJNQDR-UHFFFAOYSA-N,NRB,0,20.053964902124008
39,Nc1[n]cc(C=O)[s]1,HZKMBJCDAXLMDN-UHFFFAOYSA-N,RB,1,9.002455149509464
40,ClCc1ccc(Cl)c(Cl)c1,YZIFVWOCPGPNHB-UHFFFAOYSA-N,NRB,0,2.3138412041691883
41,[nH]1c2ccccc2cc1c3ccccc3,KLLLJCACIRKBDT-UHFFFAOYSA-N,NRB,0,5.395217516726341
42,OCCN(c1ccc(cc1)/N=N/c1c(Cl)cc(cc1Cl)[N+](=O)[O-])C,MPIGKGDPQRWZLU-VHEBQXMUSA-N,NRB,0,6.801983175011258
43,C=CC#N,NLHHRLWOUZZQLW-UHFFFAOYSA-N,RB,1,3.136396568504024
44,C1COCCN1,YNAVUWVOSKDBBP-UHFFFAOYSA-N,NRB,0,10.175842410876355
45,C1CCC(CC1)NC2CCCCC2,XBPCUCUWBYBCDP-UHFFFAOYSA-N,RB,1,5.23460580132525
46,OC(=O)CS,CWERGRDVMFNCDR-UHFFFAOYSA-N,RB,1,5.188462215042956
47,N#CCCCCCCCCCCC(O)=O,YKHZGLKQBYTRHO-UHFFFAOYSA-N,RB,1,3.7933925040429592
48,CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,CYDRXTMLKJDRQH-UHFFFAOYSA-N,NRB,0,5.474305658269806
49,Nc1ccccc1[N+](=O)[O-],DPJCXCZTLWNFOH-UHFFFAOYSA-N,NRB,0,4.734097955733419
50,CCC(=O)Nc1cc(ccc1N=Nc2ccc(cc2Cl)[N](=O)=O)N(CCOC(C)=O)CCOC(C)=O,ZDORFLXCSSFUIE-UHFFFAOYSA-N,NRB,0,5.983564774004438
51,N[C@@H](CC(=O)O)C(=O)O,CKLJMWTZIZZHCS-REOHCLBHSA-N,RB,1,3.715754625630396
52,CCN(CCO)CCO,AKNUHUCEWALCOI-UHFFFAOYSA-N,NRB,0,4.063010414082268
53,CCOC(=O)C,XEKOWRVHYACXOJ-UHFFFAOYSA-N,RB,1,1.435459593042576
54,CCCO,BDERNNFJNOPAEC-UHFFFAOYSA-N,RB,1,1.2540999856552897
55,CCOC(=O)C=C,JIGUQPWFLRLWPJ-UHFFFAOYSA-N,RB,1,1.5706957060014297
56,CCO[P](=S)(OCC)Oc1cc(C)nc(n1)C(C)C,FHIVAFMUCKRCQO-UHFFFAOYSA-N,NRB,0,6.151748078204238
57,OC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,RUDINRUXCKIXAJ-UHFFFAOYSA-N,NRB,0,8.411506350793346
58,CCOP(=S)(S)OCC,IRDLUHRVLVEUHA-UHFFFAOYSA-N,NRB,0,5.231108139553146
59,CCC(C)N=O,GRFXXWWBAWFSRF-UHFFFAOYSA-N,NRB,0,4.510937908910338
60,CN(C)CCn1nnnc1SCC2=C(N4C(SC2)C(NC(=O)Cc3csc(N)n3)C4=O)C(O)=O,QYQDKDWGWDOFFU-UHFFFAOYSA-N,NRB,0,31.625024858303806
61,Nc1cccc(Cl)c1,PNPCRKVUWYDDST-UHFFFAOYSA-N,NRB,0,2.168918035048295
62,N#CCCCCC#N,BTGRAWJCKBQKAO-UHFFFAOYSA-N,RB,1,3.280177964405059
63,CC(C)OC(=O)C,JMMWKPVZQRWMSS-UHFFFAOYSA-N,RB,1,1.4391204940294493
64,CCNc1ccc2c(c1/N=N/c1ccc(cc1)/N=N/c1ccccc1)cccc2,VKWNTWQXVLKCSG-ZDXBJJIESA-N,NRB,0,6.338039151176911
65,ClCC=C,OSDWBNJEKMUWAV-UHFFFAOYSA-N,RB,1,1.9455600159351534
66,NCC1CCC(CC1)C(=O)O,GYDJEQRTZSCIOI-UHFFFAOYSA-N,NRB,0,5.113436792877491
67,CCCCCCCO,BBMCTIGTTCKYKF-UHFFFAOYSA-N,RB,1,0.9597288652126587
68,BrC(Br)Br,DIKBFYAXUHHXCS-UHFFFAOYSA-N,NRB,0,2.4164819766565198
69,COc1ccc(OC)cc1,OHBQPCCCRFSCAX-UHFFFAOYSA-N,RB,1,3.6626355458363165
70,[O-][N+](=O)c1cccc(Cl)c1,KMAQZIILEGKYQZ-UHFFFAOYSA-N,NRB,0,1.8056387772988989
71,OCC(CO)(CO)COCC(CO)(CO)CO,TXBCBTDQIULDIA-UHFFFAOYSA-N,NRB,0,6.26171518533661
72,OC(=O)c1cccc(n1)C(O)=O,WJJMNDUMQPNECX-UHFFFAOYSA-N,RB,1,3.9579946878989247
73,CC(C)OCCO,HCGFUIQPSOCUHI-UHFFFAOYSA-N,NRB,0,2.000432027392806
74,CCC(C)NC(C)CC,OBYVIBDTOCAXSN-UHFFFAOYSA-N,NRB,0,2.412255655600734
75,COP(=O)(NC(=O)C)SC,YASYVMFAVPKPKE-UHFFFAOYSA-N,RB,1,4.097812100144699
76,N#CCCOCCC#N,BCGCCTGNWPKXJL-UHFFFAOYSA-N,RB,1,3.9067952483543333
77,COc1cc(C=CC(O)=O)ccc1O,KSEBMYQBYZTDHS-UHFFFAOYSA-N,RB,1,3.586134433104942
78,CC(C)(c1cc(Br)c(O)c(Br)c1)c2cc(Br)c(O)c(Br)c2,VEORPZCZECFIRK-UHFFFAOYSA-N,NRB,0,5.173604553249561
79,O=C(OC1CCCCC1)c2ccccc2C(=O)OC3CCCCC3,VOWAEIGWURALJQ-UHFFFAOYSA-N,RB,1,7.0038983505391
80,OC(=O)CC(=C)C(O)=O,LVHBHZANLOWSRM-UHFFFAOYSA-N,RB,1,2.18814783688934
81,CCC(C)OC(=O)CC(C)=O,QSTNBMLCULGCQE-UHFFFAOYSA-N,RB,1,2.7888044852754166
82,CCCCCCSCCCCCC,LHNRHYOMDUJLLM-UHFFFAOYSA-N,NRB,0,4.926971369811935
83,CCCCCCCCOC(=O)CCCCCCCCC(=O)OCCCCCCCC,MIMDHDXOBDPUQW-UHFFFAOYSA-N,RB,1,3.9724840047211196
84,CCCCCCCCc1ccccc1Nc2ccccc2CCCCCCCC,FOUNRKRNEDRUPL-UHFFFAOYSA-N,NRB,0,5.738452914972871
85,CC(C)C12CCC(C)(C=C1)C3C2C(=O)OC3=O,ZGACYOKNEKDSNK-UHFFFAOYSA-N,NRB,0,4.653087055652459
86,CC=CCC=CCC=CCC=C,RCRMTWBZRLYXQC-UHFFFAOYSA-N,NRB,0,2.8286273117951306
87,CC(Cl)CCl,KNKRKFALVUDBJE-UHFFFAOYSA-N,NRB,0,2.0525613316621603
88,COc1ccc(OC)c(Cl)c1,QMXZSRVFIWACJH-UHFFFAOYSA-N,NRB,0,3.767789571080138
89,Clc1cc(Cl)c2c(c1)c(=O)n1c(n2)c(c([nH]1)C)N=Nc1cccc2c1C(=O)c1ccccc1C2=O,OOWAWKKKXJSMTD-UHFFFAOYSA-N,NRB,0,11.846007019872447
90,OC(=O)C1CC=CCC1C(=O)O,ILUAAIDVFMVTAU-UHFFFAOYSA-N,NRB,0,3.5727626429776973
91,NC(=N)N(c1ccccc1)c2ccccc2,MFHNAXHSHOCFEC-UHFFFAOYSA-N,NRB,0,8.518265374737359
92,CC(C)(CC(=C)c1ccccc1)c2ccccc2,ZOKCNEIWFQCSCM-UHFFFAOYSA-N,NRB,0,2.8327795729073593
93,CCCCCCCCCC,DIOQZVSQGTUSAI-UHFFFAOYSA-N,RB,1,0.9657697226473422
94,CC(=O)Nc1ccc(O)cc1,RZVAJINKPMORJF-UHFFFAOYSA-N,RB,1,4.245925212845663
95,Nc1c(Cl)cc(cc1Cl)[N+](=O)[O-],BIXZHMJUSMUDOQ-UHFFFAOYSA-N,NRB,0,3.7796023417791154
96,ClCS(=O)(=O)Nc1cc(Cl)c(Cl)c(Cl)c1Oc2cccc(Cl)c2,WAFGQELAQCZGGK-UHFFFAOYSA-N,NRB,0,8.88050999245047
97,ClCC(Br)CBr,WBEJYOJJBDISQU-UHFFFAOYSA-N,NRB,0,2.76347192497874
98,c1ccc2cccccc21,CUFNKYGDVFVPHO-UHFFFAOYSA-N,NRB,0,4.254123561128471
99,CC1CC(OC(C)O1)OC(C)=O,PHMNXPYGVPEQSJ-UHFFFAOYSA-N,RB,1,5.050550256093079
100,OCC1OC(O)C(O)C(O)C1O,WQZGKKKJIJFFOK-UHFFFAOYSA-N,RB,1,4.193777852062078
101,CCCCCCCCCCCCCCCCCCOC(=O)C(C)=C,HMZGPNHSPWNGEP-UHFFFAOYSA-N,RB,1,3.237573594254306
102,CC(=O)Nc1cc2Cc3cc(F)ccc3-c2cc1,UAGZFYAGROGZQW-UHFFFAOYSA-N,NRB,0,5.722510321654872
103,OC/C=C/c1ccccc1,OOCCDEMITAIZTP-QPJJXVBHSA-N,RB,1,1.9813386883876525
104,CCN(CC)c1ccccc1,GGSUCNLOZRCGPQ-UHFFFAOYSA-N,NRB,0,3.104940174958404
105,CC#N,WEVYAHXRMPXWCK-UHFFFAOYSA-N,RB,1,3.109365272559735
106,CCC(C)(C)O,MSXVEPNJUHWQHW-UHFFFAOYSA-N,NRB,0,1.600608951797348
107,COc1ccccc1OC,ABDKAPXRBAPSQN-UHFFFAOYSA-N,RB,1,4.73527081286075
108,CNS(=O)(=O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,HPPDPHZGXWMRHN-UHFFFAOYSA-N,NRB,0,3.8592883426722793
109,Oc1ccc(C=CC(O)=O)cc1,NGSWKAQJJWESNS-UHFFFAOYSA-N,RB,1,2.8684484336815395
110,CCCCCCCCC#N,PLZZPPHAMDJOSR-UHFFFAOYSA-N,RB,1,3.40604388200541
111,CN(C)N,RHUYHJGZWVXEHW-UHFFFAOYSA-N,NRB,0,10.157724315378038
112,CC(C)CC(C)O,WVYWICLMDOOCFB-UHFFFAOYSA-N,RB,1,1.5081943321279228
113,BrCCCCCCCCCCBr,GTQHJCOHNAFHRE-UHFFFAOYSA-N,NRB,0,2.5841118323448105
114,C=CC1CCC2OC2C1,SLJFKNONPLNAPF-UHFFFAOYSA-N,NRB,0,4.585040732878126
115,CCO[P](=O)(OCC)OCC,DQWPFSLDHJDLRL-UHFFFAOYSA-N,NRB,0,3.888546723646819
116,CC(=O)CC(=O)C,YRKCREAYFQTBPV-UHFFFAOYSA-N,RB,1,4.378696089240049
117,CC(Nc1nc(nc(n1)c1ccccc1)Nc1cc(C(=O)C)c(c2c1C(=O)c1ccccc1C2=O)N)C,ZNPYBNNSPKOGPQ-UHFFFAOYSA-N,NRB,0,9.711938994493236
118,O=C=NC1CCC(CC2CCC(CC2)N=C=O)CC1,KORSJDCBLAPZEQ-UHFFFAOYSA-N,NRB,0,9.405707112879073
119,C1(O)C(O)C(O)C(OP(=O)(NCCCl)NCCCl)OC1CO,PSVUJBVBCOISSP-UHFFFAOYSA-N,RB,1,6.489067235808851
120,CP(O)(=O)CCC(N)C(O)=O,IAJOBQBIJHVGMQ-UHFFFAOYSA-N,RB,1,4.141629486154652
121,CC(C)c1ccc(cc1)C(C)C,SPPWGCYEYAMHDT-UHFFFAOYSA-N,NRB,0,1.4450897658051332
122,CCCN(c1ccc(c(c1)NC(=O)C)/N=N/c1c(C#N)cc(cc1C#N)[N+](=O)[O-])CCC,BRFLEIZLMZUSSP-CYYJNZCTSA-N,NRB,0,4.439229873734231
123,ClCC1CO1,BRLQWZUYTZBJKN-UHFFFAOYSA-N,NRB,0,2.172157256696863
124,CCCCCCCCNCCCCCCCC,LAWOZCWGWDVVSG-UHFFFAOYSA-N,RB,1,2.5596748228777133
125,C=Cc1ccncc1,KFDVPJUYSDEJTH-UHFFFAOYSA-N,NRB,0,2.2293924825758977
126,CC(C#CC(OOC(C)(C)C)(C)C)(OOC(C)(C)C)C,ODBCKCWTWALFKM-UHFFFAOYSA-N,NRB,0,6.3317765165003115
127,CCCCCCCC/C=C/CCCCCCCC(=O)OCCCC,WIBFFTLQMKKBLZ-OUKQBFOZSA-N,RB,1,2.366516671636767
128,C1CN2CCN1CC2,IMNIMPAHZVJRPE-UHFFFAOYSA-N,NRB,0,19.173090517805182
129,OCCN(CCO)CCO,GSEJCLTVZPLZKY-UHFFFAOYSA-N,NRB,0,3.468744880585351
130,OC(=O)c1ccc(Cl)cc1Cl,ATCRIUVQKHMXSH-UHFFFAOYSA-N,NRB,0,1.0220100065429607
131,CCC(CC)C(=O)O,OXQGTIUCKGYOAA-UHFFFAOYSA-N,RB,1,1.7542529077867774
132,FC(F)(F)c1ccccc1,GETTZEONDQJALK-UHFFFAOYSA-N,NRB,0,3.6817437161652258
133,CNC(=O)Oc1ccccc1C(C)C,QBSJMKIUCUGGNG-UHFFFAOYSA-N,NRB,0,3.171902214787558
134,CCc1c(Br)c(Br)c(Br)c(Br)c1Br,FIAXCDIQXHJNIX-UHFFFAOYSA-N,NRB,0,4.359464701070956
135,c1c2c3ccccc3ccc2cc2ccccc21,DXBHBZVCASKNBY-UHFFFAOYSA-N,NRB,0,2.6787026048307525
136,CSc1ccc(O)cc1,QASBCTGZKABPKX-UHFFFAOYSA-N,NRB,0,4.341389408137844
137,CCCCC(CC)(CO)CO,DSKYSDCYIODJPC-UHFFFAOYSA-N,NRB,0,2.7084537493310386
138,CCCCNCC,QHCCDDQKNUYGNC-UHFFFAOYSA-N,RB,1,1.3931079990971138
139,Cc1ccccc1/N=N/c1c(O)ccc2c1cccc2,BQFCCCIRTOLPEF-VHEBQXMUSA-N,NRB,0,3.345314698578409
140,CCOC(Cl)=O,RIFGWPKJUGCATF-UHFFFAOYSA-N,RB,1,2.356169565196178
141,OCCOC(=O)C=C,OMIGHNLMNHATMP-UHFFFAOYSA-N,RB,1,1.7710181951801782
142,CCOC(=O)c1ccc(NC(=O)CCl)cc1,ZVRJEYAQESBSSH-UHFFFAOYSA-N,RB,1,4.70382973785988
143,CCCCCCCCCCCCCCCCCCNC(=O)N1CC1,MEMUMYCLWQPAEX-UHFFFAOYSA-N,NRB,0,7.254689005692551
144,COc1ccc(cc1)N(=O)=O,BNUHAJGCKIQFGE-UHFFFAOYSA-N,NRB,0,3.0328734483647835
145,c1c2cc3cc4ccccc4cc3cc2cc2ccccc21,SLIUAWYAILUBJU-UHFFFAOYSA-N,NRB,0,3.272309717614822
146,O=C1CCCCCCCCCCCN1,JHWNWJKBPDFINM-UHFFFAOYSA-N,NRB,0,4.913703178777638
147,Cc1ccc(cc1)[N+](=O)[O-],ZPTVNYMJQHSSEA-UHFFFAOYSA-N,NRB,0,2.0959126811992808
148,O=C1NSc2ccccc12,DMSMPAJRVJJAGA-UHFFFAOYSA-N,NRB,0,6.241457166650388
