,SMILES,InChI,EndPt,ReadyBiodeg,dist
0,CCNc1nc(Cl)nc(NC(C)C)n1,MXWJVTOOROXGIU-UHFFFAOYSA-N,NRB,0,5.432756015156141
1,CCCN(c1ccc(c(c1)NS(=O)(=O)C)/N=N/c1c(Br)cc(cc1C#N)C)CCC,PRJALBAUHIQRTE-OCOZRVBESA-N,NRB,0,8.524929680416472
2,C=C(Cl)CO,OSCXYTRISGREIM-UHFFFAOYSA-N,RB,1,2.6293173371151446
3,COC(=O)C=C,BAPJBEWLBFYGME-UHFFFAOYSA-N,RB,1,2.793450628496982
4,OC(=O)C(O)(c1ccccc1)c2ccccc2,UKXSKSHDVLQNKG-UHFFFAOYSA-N,NRB,0,6.165863282598039
5,OCCNCCNc2ccc(NCCNCCO)c3C(=O)c1c(O)ccc(O)c1C(=O)c23,KKZJGLLVHKMTCM-UHFFFAOYSA-N,NRB,0,15.192902793423341
6,CCOC(=O)CC(S[P](=S)(OC)OC)C(=O)OCC,JXSJBGJIGXNWCI-UHFFFAOYSA-N,NRB,0,6.287596295198785
7,Oc1c(Cl)cc(Cl)cc1Cl,LINPIYWFGCPVIE-UHFFFAOYSA-N,RB,1,2.604139427022042
8,Nc1cccc2c(N)cccc12,KQSABULTKYLFEV-UHFFFAOYSA-N,NRB,0,3.9994581409924943
9,ClC(c1ccccc1)c2ccc(Cl)cc2,ALKWTKGPKKAZMN-UHFFFAOYSA-N,NRB,0,3.806271791179045
10,Cc1cc(c(N)cc1Cl)S(=O)(=O)O,VRLPHBSFRWMMPW-UHFFFAOYSA-N,NRB,0,3.8612055246678842
11,CCCCCCCCCCCCCCO,HLZKNKRTKFSKGZ-UHFFFAOYSA-N,RB,1,1.0163838148608104
12,CCCCCCC(=O)C,ZPVFWPFBNIEHGJ-UHFFFAOYSA-N,RB,1,1.8581491218232538
13,CCCC,IJDNQMDRQITEOD-UHFFFAOYSA-N,RB,1,1.3848055722501087
14,C=CCN(c1cc(NC(=O)C)c(cc1OC)/N=N/c1c(Br)cc(cc1[N+](=O)[O-])[N+](=O)[O-])CCC#N,WUAQCCUTLFMZFP-OCEACIFDSA-N,NRB,0,7.826051745447618
15,CCCCC\C=C/C/C=C\CCCCCCCC(O)=O,OYHQOLUKZRVURQ-HZJYTTRNSA-N,RB,1,3.352636508134397
16,CC(O)COCC(C)O,AZUXKVXMJOIAOF-UHFFFAOYSA-N,NRB,0,2.946804052036933
17,c1ccccc1N=Nc1ccccc1,DMLAVOWQYNRWNQ-UHFFFAOYSA-N,NRB,0,5.920296397177129
18,CCCCOCCO,POAOYUHQDCAZBD-UHFFFAOYSA-N,RB,1,2.274282067320638
19,Clc1c(Cl)c(Cl)c2C(=O)NC(=O)c2c1Cl,LPUUYZVKCMCHLO-UHFFFAOYSA-N,NRB,0,8.72108408887667
20,Clc1cccc(Cl)c1,ZPQOPVIELGIULI-UHFFFAOYSA-N,NRB,0,2.2019742542818324
21,CCCCC(CC)COC(=O)c1ccc(C(=O)OCC(CC)CCCC)c(c1)C(=O)OCC(CC)CCCC,KRADHMIOFJQKEZ-UHFFFAOYSA-N,NRB,0,7.119767398037427
22,ClCc1ccc(Cl)cc1,JQZAEUFPPSRDOP-UHFFFAOYSA-N,NRB,0,2.0904150557358894
23,CCOc1ccccc1,DLRJIFUOBPOJNS-UHFFFAOYSA-N,RB,1,4.033672934900711
24,CCOc1cc(N=Nc2c(Br)cc(cc2N(=O)=O)N(=O)=O)c(c(c1)N(CCOC(=O)C)CCOC(=O)C)NC(=O)C,CXGBNTZHEOCOEN-UHFFFAOYSA-N,NRB,0,9.160294440463913
25,ClC1=C(Cl)[C@@]2(Cl)[C@H]3[C@H]4C[C@H]([C@@H]5O[C@H]45)[C@H]3[C@]1(Cl)C2(Cl)Cl,DFBKLUNHFCTMDC-PICURKEMSA-N,NRB,0,6.230723333113493
26,Br\C=C\c1ccccc1,YMOONIIMQBGTDU-VOTSOKGWSA-N,NRB,0,1.5966752248085372
27,Clc1ccc(cc1Cl)c2ccccc2,ZGHQUYZPMWMLBM-UHFFFAOYSA-N,NRB,0,3.625780149671432
28,CCOc1ccc(cc1)/N=N/c1ccc(c2c1cccc2)O,JSEYDVLGSMLKDL-FMQUCBEESA-N,NRB,0,4.730507454464418
29,O=C1NC(=O)C(N1)(c2ccccc2)c3ccccc3,CXOFVDLJLONNDW-UHFFFAOYSA-N,NRB,0,9.94298693930436
30,COc1cc(N=Nc2ccccc2OC)c(cc1N=Nc1ccc(cc1)O)C,HCIDJVSSBKXSRX-UHFFFAOYSA-N,NRB,0,8.955829444008229
31,CCl,NEHMKBQYUWJMIP-UHFFFAOYSA-N,NRB,0,2.967439425954782
32,CC(=O)OCc1c[n]c(N)c(C#N)[n]1,IMLOZVNPFFXWAQ-UHFFFAOYSA-N,RB,1,9.304709623865607
33,CC(=CC1C(C(=O)OCc2coc(Cc3ccccc3)c2)C1(C)C)C,VEMKTZHHVJILDY-UHFFFAOYSA-N,NRB,0,14.159525861448087
34,CCCCN[S](=O)(=O)c1ccccc1,IPRJXAGUEGOFGG-UHFFFAOYSA-N,NRB,0,6.189350327345351
35,[O-][N+](=O)c1ccc(C=O)o1,SXINBFXPADXIEY-UHFFFAOYSA-N,RB,1,12.687962905786208
36,CC(C)CC(O)=O,GWYFCOCPABKNJV-UHFFFAOYSA-N,RB,1,2.2745702637956415
37,Cc1ccccc1O,QWVGKYWNOKOFNN-UHFFFAOYSA-N,RB,1,2.9731755298514386
38,CNN,HDZGCSFEDULWCS-UHFFFAOYSA-N,NRB,0,10.678717723556709
39,Nc1ccc(N=Nc2ccc(cc2)c3ccc(cc3)N=Nc4c(N)c5c(O)c(N=Nc6ccccc6)c(cc5cc4S(=O)(=O)O)S(=O)(=O)O)c(N)c1,ATFARZXNCCWOKJ-UHFFFAOYSA-N,NRB,0,19.02346954573051
40,O=C1CCO1,VEZXCJBBBCKRPI-UHFFFAOYSA-N,RB,1,3.6846620888189734
41,CCCCC(=O)O,NQPDZGIKBAWPEJ-UHFFFAOYSA-N,RB,1,1.9053403416535073
42,CC(=O)Oc1c2c(cccc2cc2cccc(OC(C)=O)c21)OC(C)=O,IPWOSICBVUXMML-UHFFFAOYSA-N,NRB,0,10.073072220603182
43,ClC1C(Br)C(Br)C(Br)C(Br)C1Br,UZOSVZSBPTTWIG-UHFFFAOYSA-N,NRB,0,6.401922250743685
44,CC(C)(C)OCCO,BDLXTDLGTWNUFM-UHFFFAOYSA-N,NRB,0,2.4302025101642215
45,CC(O)COC(=O)C(C)=C,VHSHLMUCYSAUQU-UHFFFAOYSA-N,RB,1,2.2409860809678155
46,CC(=C)C(=O)OCCOCCOC(=O)C(=C)C,XFCMNSHQOZQILR-UHFFFAOYSA-N,RB,1,4.240048488158224
47,CCCCCCCCCCCCCCCC/C=C/C1CC(=O)OC1=O,KAYAKFYASWYOEB-ISLYRVAYSA-N,NRB,0,4.212609358571573
48,C(Cc1ccccc1)c1ccccc1,QWUWMCYKGHVNAV-UHFFFAOYSA-N,RB,1,3.177519488772788
49,Cc1cc(Cl)ccc1O,RHPUJHQBPORFGV-UHFFFAOYSA-N,NRB,0,2.1319706858472034
50,CC1NC(=O)N(C(=O)C=1Cl)C(C)(C)C,NBQCNZYJJMBDKY-UHFFFAOYSA-N,NRB,0,7.9307335439937034
51,NN,OAKJQQAXSVQMHS-UHFFFAOYSA-N,NRB,0,13.377159786447294
52,CC1(C)[C@@H]2CC[C@@]1(C)[C@@H](O)C2,DTGKSKDOIYIVQL-WEDXCCLWSA-N,RB,1,3.317974881653932
53,OC(=O)c1ccccn1,SIOXPEMLGUPBBT-UHFFFAOYSA-N,RB,1,4.440885451306088
54,OCCN1C(=O)N(CCO)C(=O)N(CCO)C1=O,BPXVHIRIPLPOPT-UHFFFAOYSA-N,NRB,0,10.924773176498183
55,Nc1ccc(Cc2ccc(N)c(Cl)c2Cl)c(Cl)c1Cl,PPUHQXZSLCCTAN-UHFFFAOYSA-N,NRB,0,6.912355959504974
56,C1OC1c2ccccc2,AWMVMTVKBNGEAK-UHFFFAOYSA-N,RB,1,3.6988161292423603
57,CC(C)(C)O,DKGAVHZHDRPRBM-UHFFFAOYSA-N,NRB,0,30.59227776910051
58,COc2ccc1cc(ccc1c2)C(C)C(O)=O,CMWTZPSULFXXJA-UHFFFAOYSA-N,NRB,0,5.263230604328854
59,Cc1cc(NC(=O)Nc2ccc(N=Nc3cc(c4cccc(c4c3)S(=O)(=O)O)S(=O)(=O)O)c(C)c2)ccc1N=Nc5cc(c6cccc(c6c5)S(=O)(=O)O)S(=O)(=O)O,XFUDRSZJCBDNPN-UHFFFAOYSA-N,NRB,0,17.9432372041537
60,COc1cc(/N=N/c2ccc(cc2[N+](=O)[O-])[N+](=O)[O-])c(cc1N(Cc1ccccc1)CCOC(=O)C)NC(=O)C,JNVFJTYCXXHXEF-ZQHSETAFSA-N,NRB,0,7.4311983727214015
61,CC1COC(=O)O1,RUOJZAUFBMNUDX-UHFFFAOYSA-N,RB,1,5.856372109336939
62,CCc1ccc(cc1)c2cccc(CC)c2,NUAIFBPKRPFHSW-UHFFFAOYSA-N,NRB,0,2.490880307035209
63,Nc1ccc(Cc2ccc(N)cc2)cc1,YBRVSVVVWCFQMG-UHFFFAOYSA-N,NRB,0,4.5132478902901125
64,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O,NOOLISFMXDJSKH-KXUCPTDWSA-N,NRB,0,3.801710079808643
65,CCCCCCCCCCCCCOP(Oc1ccccc1)Oc2ccccc2,OGVJEUDMQQIAPV-UHFFFAOYSA-N,NRB,0,8.269841325414216
66,CC(=O)c1ccccc1,KWOLFJPFCHCOCG-UHFFFAOYSA-N,RB,1,3.2086632399215547
67,COc1cccc(OC)c1,DPZNOMCNRMUKPS-UHFFFAOYSA-N,RB,1,3.742496171533585
68,Brc1ccc(c(Br)c1Br)c2ccc(Br)c(Br)c2Br,PTJQVJQAZSLKJO-UHFFFAOYSA-N,NRB,0,5.8831564300205725
69,Nc1ccc(c2ccccc12)S(=O)(=O)O,NRZRRZAVMCAKEP-UHFFFAOYSA-N,NRB,0,3.2240206358172103
70,OC(=O)c1c(Cl)ccc(Cl)c1Cl,XZIDTOHMJBOSOX-UHFFFAOYSA-N,NRB,0,2.7036950705457876
71,COc1ccc(N)c(c1)[N+]([O-])=O,QFMJFXFXQAFGBO-UHFFFAOYSA-N,NRB,0,5.373525101248802
72,OC(=O)CC(O)(CC(O)=O)C(O)=O,KRKNYBCHXYNGOX-UHFFFAOYSA-N,RB,1,6.224483541169023
73,CCN(CC)c1ccc2c(Oc3cc(ccc3C24OC(=O)c5ccccc45)N(CC)CC)c1,DZNJMLVCIZGWSC-UHFFFAOYSA-N,NRB,0,11.116454224341075
74,COC(C)CCO,JSGVZVOGOQILFM-UHFFFAOYSA-N,RB,1,2.441643749491137
75,O=C1CCCCCN1,JBKVHLHDHHXQEQ-UHFFFAOYSA-N,RB,1,4.7886668040433795
76,Nc1n[nH]c(S)n1,WZUUZPAYWFIBDF-UHFFFAOYSA-N,NRB,0,12.40540203233617
77,CCCCCCCC,TVMXDCGIABBOFY-UHFFFAOYSA-N,RB,1,1.0848432082491326
78,CCCCOC(=O)C,DKPFZGUDAPQIHT-UHFFFAOYSA-N,RB,1,1.5782494534896945
79,CC(C)(C)OOC(=O)c1ccccc1,GJBRNHKUVLOCEB-UHFFFAOYSA-N,NRB,0,3.9877964882112944
80,COc1ccc(cc1)Oc1cc(O)c2c(c1N)C(=O)c1c(C2=O)cccc1,BGIJPDMVGSTDDJ-UHFFFAOYSA-N,NRB,0,9.167226403338232
81,ClCC(CCl)O[P](=O)(OC(CCl)CCl)OC(CCl)CCl,ASLWPAWFJZFCKF-UHFFFAOYSA-N,NRB,0,10.604096934679422
82,CC(C)=CCC\C(C)=C/C=O,WTEVQBCEXWBHNA-YFHOEESVSA-N,RB,1,3.198694339303092
83,OC(=O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,KCXVZYZYPLLWCC-UHFFFAOYSA-N,NRB,0,11.128783838576346
84,Nc1cc(Cl)ccc1Cl,AVYGCQXNNJPXSS-UHFFFAOYSA-N,NRB,0,2.153293728544995
85,CC(C)(C)c1cc(cc(c1O)C(C)(C)C)c2ccccc2,JIEWQZNTUPWNMX-UHFFFAOYSA-N,NRB,0,3.242632859186497
86,O=Cc1ccccc1,HUMNYLRZRPPJDN-UHFFFAOYSA-N,RB,1,2.9965994000043117
87,Oc1ccc(O)cc1,QIGBRXMKCJKVMJ-UHFFFAOYSA-N,RB,1,3.3198568480281154
88,C=CC(=O)OCCN1C(=O)N(CCOC(=O)C=C)C(=O)N(CCOC(=O)C=C)C1=O,YIJYFLXQHDOQGW-UHFFFAOYSA-N,NRB,0,13.324500178406161
89,OCCN(S(=O)(=O)C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)CC,SSGYCIQAXNQIBC-UHFFFAOYSA-N,NRB,0,3.0046077179915813
90,CCCCCCCCC(=O)O,FBUKVWPVBMHYJY-UHFFFAOYSA-N,RB,1,1.3142217872153112
91,Oc1ccccc1CC=C,QIRNGVVZBINFMX-UHFFFAOYSA-N,RB,1,2.9670666321887045
92,FC(=C(F)OC(F)(F)C(F)(F)C(F)(F)F)F,KHXKESCWFMPTFT-UHFFFAOYSA-N,NRB,0,6.947771182679465
93,CC(C)c1ccc(cc1)C(=O)O,CKMXAIVXVKGGFM-UHFFFAOYSA-N,RB,1,2.2895501482833254
94,CCNc1cccc2ccccc12,KDFFXYVOTKKBDI-UHFFFAOYSA-N,NRB,0,4.238924632648719
95,CC(O)C(=O)O,JVTAAEKCZFNVCJ-UHFFFAOYSA-N,RB,1,3.4536276389500387
96,C\1C\C=C/CC\C=C1,VYXHVRARDIDEHS-QGTKBVGQSA-N,NRB,0,2.9942542557506635
97,Oc1ccccc1C=O,SMQUZDBALVYZAC-UHFFFAOYSA-N,NRB,0,4.601259028184784
98,COc1ccccc1Nc1ccc(c2c1C(=O)c1ccccc1C2=O)N,KCHSQBUPMQJKRM-UHFFFAOYSA-N,NRB,0,8.20903633810708
99,N=C(Nc1ccccc1)Nc2ccccc2,OWRCNXZUPFZXOS-UHFFFAOYSA-N,NRB,0,9.638684925523371
100,CCCN(c1ccc(c(c1)NC(=O)C)/N=N/c1nnc(s1)SCC)CCC,RYUOZOUELVJZGD-QZQOTICOSA-N,NRB,0,10.200163283331108
101,Cc1ccc(C)c(C)c1,GWHJZXXIDMPWGX-UHFFFAOYSA-N,NRB,0,2.4526415896492835
102,CN(C)C(=O)Nc1cc(o[n]1)C(C)(C)C,JLLJHQLUZAKJFH-UHFFFAOYSA-N,RB,1,6.95887761146349
103,CCCCCCCCCCCCCCCCCCCCCCCC,POOSGDOYLQNASK-UHFFFAOYSA-N,RB,1,1.3752017820195102
104,O=C(Nc1ccc(Cc2ccc(NC(=O)N3CC3)cc2)cc1)N4CC4,XECQDYXJWMHGBI-UHFFFAOYSA-N,NRB,0,14.206782277216425
105,CCCCCCCCCCCCCCCCCCCCCCC,FIGVVZUWCLSUEI-UHFFFAOYSA-N,RB,1,1.254703995003348
106,CN(C(=O)CC(=O)N(C)c1c(I)c(C(=O)NC(CO)C(O)CO)c(I)c(C(=O)NC(CO)C(O)CO)c1I)c2c(I)c(C(=O)NC(CO)C(O)CO)c(I)c(C(=O)NC(CO)C(O)CO)c2I,XUHXFSYUBXNTHU-UHFFFAOYSA-N,NRB,0,34.132723366328044
107,COC(=O)CC[N+]([O-])=O,PVOVDKWDSQCJAA-UHFFFAOYSA-N,RB,1,5.516458480144206
108,OC(=O)c1ccccc1C(=O)O,XNGIFLGASWRNHJ-UHFFFAOYSA-N,RB,1,3.85055139390305
109,Cc1ccccc1C,CTQNGGLPUBDAKN-UHFFFAOYSA-N,RB,1,1.7239592927800544
110,c1ccc(cc1)c2ccccc2,ZUOUZKKEUPVFJK-UHFFFAOYSA-N,RB,1,2.9060750393015695
111,O=C1OC(=O)C2CC=CCC12,KMOUUZVZFBCRAM-UHFFFAOYSA-N,NRB,0,4.494248246063415
112,ClC1=C(Cl)C(=O)c2ccccc2C1=O,SVPKNMBRVBMTLB-UHFFFAOYSA-N,NRB,0,7.91475264117981
113,CC(=CCCC(C)(O)C=C)C,CDOSHBSSFJOMGT-UHFFFAOYSA-N,RB,1,3.191498055618735
114,Cl[C@@H]1[C@H](Cl)[C@@H](Cl)[C@H](Cl)[C@@H](Cl)[C@@H]1Cl,JLYXXMFPNIAWKQ-GPIVLXJGSA-N,NRB,0,4.9236317011006365
115,CCCCCCCCCCCCCCCCCC(=O)OCCOC(=O)CCCCCCCCCCCCCCCCC,FPVVYTCTZKCSOJ-UHFFFAOYSA-N,RB,1,5.849310782159068
116,CC(O)CN(CC(C)O)CC(C)O,SLINHMUFWFWBMU-UHFFFAOYSA-N,NRB,0,4.284352328934118
117,CCCCCCCCCCSSCCCCCCCCCC,IDJPKRIELSFBPE-UHFFFAOYSA-N,NRB,0,2.8095022558862532
118,CCCC(=O)O,FERIUCNNQQJTOY-UHFFFAOYSA-N,RB,1,2.0080710285723185
119,C=CC1CCC=CC1,BBDKZWKEPDTENS-UHFFFAOYSA-N,NRB,0,2.732940331390355
120,CC(C)(C)c1cc(CO)cc(c1O)C(C)(C)C,HNURKXXMYARGAY-UHFFFAOYSA-N,NRB,0,2.9708652786278376
121,CCC(C)c1ccccc1O,NGFPWHGISWUQOI-UHFFFAOYSA-N,NRB,0,2.326738261716049
122,CC(C)(C)c1cc(CN2C(=O)N(Cc3cc(c(O)c(c3)C(C)(C)C)C(C)(C)C)C(=O)N(Cc4cc(c(O)c(c4)C(C)(C)C)C(C)(C)C)C2=O)cc(c1O)C(C)(C)C,VNQNXQYZMPJLQX-UHFFFAOYSA-N,NRB,0,18.09765054249526
123,CC1CCCC(C)N1,SDGKUVSVPIIUCF-UHFFFAOYSA-N,NRB,0,6.167031318717638
124,CCCCCCCCCCCCCCCCCCO,GLDOVTGHNKAZLK-UHFFFAOYSA-N,RB,1,2.1507175545718513
125,CCCCCCCCO[C@@H]1OC(CO)[C@@H](O)[C@H](O)[C@H]1O,HEGSGKPQLMEBJL-ZLMOABSSSA-N,RB,1,4.897636849306793
126,CCc1cccc(C=C)c1,XHUZSRRCICJJCN-UHFFFAOYSA-N,NRB,0,1.8605283604519547
127,CCCCCCCCOc1ccc(c(O)c1)C(=O)c2ccccc2,QUAMTGJKVDWJEQ-UHFFFAOYSA-N,NRB,0,5.742605072642625
128,Oc1cccc(O)c1,GHMLBKRAJCXXBS-UHFFFAOYSA-N,RB,1,2.96611216402002
129,CC(C)(C)CC(C)(C)c1ccc(O)cc1,ISAVYTVYFVQUDY-UHFFFAOYSA-N,NRB,0,2.317989050438407
130,OC(=O)\C=C\c1ccccc1,WBYWAXJHAXSJNI-VOTSOKGWSA-N,RB,1,2.7671639672789543
131,CC(C)(CO)COC(=O)C(C)(C)CO,SZCWBURCISJFEZ-UHFFFAOYSA-N,NRB,0,5.236414059122944
132,COC,LCGLNKUTAGEVQW-UHFFFAOYSA-N,NRB,0,4.1933568311268985
133,C1CCc2ccccc2C1,CXWXQJXEFPUFDZ-UHFFFAOYSA-N,NRB,0,3.4928355213582702
134,CNc1ccccc1C(=O)O,WVMBPWMAQDVZCM-UHFFFAOYSA-N,RB,1,4.2870555656218
135,C1CCC2CCCCC2C1,NNBZCPXTIHJBJL-UHFFFAOYSA-N,NRB,0,5.418097548267331
136,CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,DMWVYCCGCQPJEA-UHFFFAOYSA-N,NRB,0,6.486600217267757
137,Oc1ccc(Cl)cc1Cc2ccccc2,NCKMMSIFQUPKCK-UHFFFAOYSA-N,RB,1,3.1360671937892923
138,N#Cc1cccnc1,GZPHSAQLYPIAIN-UHFFFAOYSA-N,NRB,0,5.0361353773614255
139,OCCOCCO,MTHSVFCYNBDYFN-UHFFFAOYSA-N,RB,1,3.0493941959298527
140,Cc1cc(Cl)c(C)cc1,KZNRNQGTVRTDPN-UHFFFAOYSA-N,NRB,0,3.144100695874925
141,C1CCC=CC1,HGCIXCUEYOPUTN-UHFFFAOYSA-N,NRB,0,2.92463987264308
142,Cc1cc(C)c(cc1C)C,SQNZJJAZBFDUTD-UHFFFAOYSA-N,NRB,0,4.440924266661663
143,CC1(C)COC(=O)C1O,SERHXTVXHNVDKA-UHFFFAOYSA-N,RB,1,5.336895769721278
144,Nc1cccc(c1)S(=O)(=O)O,ZAJAQTYSTDTMCU-UHFFFAOYSA-N,NRB,0,3.1680448581441336
145,CCCCCCCCCCCCOC(=O)CCSCCC(=O)OCCCCCCCCCCCC,GHKOFFNLGXMVNJ-UHFFFAOYSA-N,RB,1,6.904671576570181
146,CC(C)(C)C=O,FJJYHTVHBVXEEQ-UHFFFAOYSA-N,RB,1,2.9053053383299132
147,c1ccccc1CC(=O)NC1C2SC(C)(C)C(C(=O)O)N2C1=O,JGSARLDLIJGVTE-UHFFFAOYSA-N,NRB,0,20.61567400115382
148,CC(=O)CC(=O)Nc1ccc(C)cc1C,HGVIAKXYAZRSEG-UHFFFAOYSA-N,NRB,0,5.673510556700765
149,CC(N)=S,YUKQRDCYNOVPGJ-UHFFFAOYSA-N,NRB,0,11.144554440829468
