SMILES,EndPt,ReadyBiodeg
OCCOCCO,RB,1
O=S1(=O)CCCC1,NRB,0
OC(=O)c1c(Cl)ccc(Cl)c1Cl,NRB,0
COC(C)(C)CCOC(=O)C,RB,1
CCCCCOP(=O)(OCCCCC)OCCCCC,NRB,0
CO[P](=S)(OC)Oc1ccc(c(C)c1)[N+]([O-])=O,NRB,0
O=Cc1ccc2OCOc2c1,RB,1
[O-][N+](=O)c1cc(Cl)c(Cl)cc1,NRB,0
Sc1cccc2ccccc12,NRB,0
Oc1ccccc1-[n]1[n]c2ccccc2[n]1,NRB,0
Cc1ccc(cc1O)[N+]([O-])=O,NRB,0
CC(C)(OOC(C)(C)c1ccccc1)c2ccccc2,NRB,0
CC(=O)C(N=Nc1ccc(cc1Cl)-c1cc(Cl)c(cc1)N=NC(C(=O)Nc1ccccc1)C(C)=O)C(=O)Nc1ccccc1,NRB,0
C(c1ccccc1)c1ccccc1,NRB,0
CCCCC=C,RB,1
OC(=O)c1cccc[n]1,RB,1
COc1ccc(cc1)Nc1ccc(cc1)OC,NRB,0
NCCCC1OCC2(COC(CCCN)OC2)CO1,NRB,0
N#CSCSc1[n]c2ccccc2[s]1,NRB,0
CC1=CCC2CC1C2(C)C,RB,1
COc1ccc(cc1)Oc1cc(O)c2c(c1N)C(=O)c1c(C2=O)cccc1,NRB,0
CC(O)CN(CC(C)O)CCN(CC(C)O)CC(C)O,NRB,0
Oc1cc2ccccc2cc1C(=O)Nc1ccccc1,NRB,0
Cc1cccc(C)c1O,NRB,0
Clc1ccc(cc1)c2ccccc2,RB,1
CCCCCCCCCCCCCCCCCCCCC,RB,1
CCCCC(COC(=O)CCCCCCCC(=O)OCC(CCCC)CC)CC,RB,1
Oc1ccc(Cl)cc1,NRB,0
CCCCCCCCCCCCOS(O)(=O)=O,RB,1
O=[S]1(=O)CCCO1,RB,1
CC(C)CC(C)OC(=O)C,RB,1
N#Cc1ccc(cc1)C#N,NRB,0
CCCCCCCC\C=C/CCCCCCCC(=O)OCC(O)CO,RB,1
CCCCCCCCCCCCc1ccccc1,RB,1
C=CCN(CC=C)CC=C,NRB,0
CC(O)C2C1C(C)C(=C(N1C2=O)C(O)=O)SC3CNC(C3)C(=O)N(C)C,NRB,0
CCOP(=O)(OCC)OCC,NRB,0
CN(C)S(=O)(=O)N(SC(F)(Cl)Cl)c1ccccc1,NRB,0
NCCNCCN,NRB,0
Cc1cc(C)c(C)cc1,NRB,0
CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,RB,1
Oc1c(cc(cc1[N+](=O)[O-])[N+](=O)[O-])[N+](=O)[O-],NRB,0
FC(F)(F)c1ccccc1,NRB,0
CCCCCCc1ccc(cc1)c2ccc(cc2)C#N,NRB,0
CCC(=O)CC(=O)CC,RB,1
COc1ccccc1[N+](=O)[O-],NRB,0
CCCCCCCCCCCCCCCCO,RB,1
CCCCCCCC\C=C/CCCCCCCC(O)=O,RB,1
OCC(COC(=O)C=C)(COC(=O)C=C)COC(=O)C=C,NRB,0
CCCC,RB,1
Cc1ccccc1C(=O)O,RB,1
CCC#CCCO,RB,1
CC(C)C(O)C(C)(C)COC(=O)C(C)C,RB,1
Cc1cc(C)c(N)c(C)c1,NRB,0
FC(F)(Br)C(F)(F)Br,NRB,0
CC(c1ccccc1)c2cc(C)ccc2C,NRB,0
OCCOCCOCCO,RB,1
CCOCC,NRB,0
ClCCl,NRB,0
OC/C=C/c1ccccc1,RB,1
Cc1ccc(cc1N=C=O)N=C=O,NRB,0
OCC(Br)(CO)[N+](=O)[O-],NRB,0
Nc1c(C=NN=Cc2ccc3c(c2N)C(=O)c2c(C3=O)cccc2)ccc2c1C(=O)c1ccccc1C2=O,NRB,0
CC1CC2C(CC1)C(=O)OC2=O,NRB,0
OP=O,NRB,0
CC(C)(C)c1ccc(CC(C)C=O)cc1,NRB,0
