"","SMILES","InChI","EndPt","ReadyBiodeg","MaxEStateIndex","MinEStateIndex","MaxAbsEStateIndex","MinAbsEStateIndex","qed","MolWt","HeavyAtomMolWt","ExactMolWt","NumValenceElectrons","NumRadicalElectrons","MaxPartialCharge","MinPartialCharge","MaxAbsPartialCharge","MinAbsPartialCharge","FpDensityMorgan1","FpDensityMorgan2","FpDensityMorgan3","BalabanJ","BertzCT","Chi0","Chi0n","Chi0v","Chi1","Chi1n","Chi1v","Chi2n","Chi2v","Chi3n","Chi3v","Chi4n","Chi4v","HallKierAlpha","Ipc","Kappa1","Kappa2","Kappa3","LabuteASA","PEOE_VSA1","PEOE_VSA10","PEOE_VSA11","PEOE_VSA12","PEOE_VSA13","PEOE_VSA14","PEOE_VSA2","PEOE_VSA3","PEOE_VSA4","PEOE_VSA5","PEOE_VSA6","PEOE_VSA7","PEOE_VSA8","PEOE_VSA9","SMR_VSA1","SMR_VSA10","SMR_VSA2","SMR_VSA3","SMR_VSA4","SMR_VSA5","SMR_VSA6","SMR_VSA7","SMR_VSA8","SMR_VSA9","SlogP_VSA1","SlogP_VSA10","SlogP_VSA11","SlogP_VSA12","SlogP_VSA2","SlogP_VSA3","SlogP_VSA4","SlogP_VSA5","SlogP_VSA6","SlogP_VSA7","SlogP_VSA8","SlogP_VSA9","TPSA","EState_VSA1","EState_VSA10","EState_VSA11","EState_VSA2","EState_VSA3","EState_VSA4","EState_VSA5","EState_VSA6","EState_VSA7","EState_VSA8","EState_VSA9","VSA_EState1","VSA_EState10","VSA_EState2","VSA_EState3","VSA_EState4","VSA_EState5","VSA_EState6","VSA_EState7","VSA_EState8","VSA_EState9","FractionCSP3","HeavyAtomCount","NHOHCount","NOCount","NumAliphaticCarbocycles","NumAliphaticHeterocycles","NumAliphaticRings","NumAromaticCarbocycles","NumAromaticHeterocycles","NumAromaticRings","NumHAcceptors","NumHDonors","NumHeteroatoms","NumRotatableBonds","NumSaturatedCarbocycles","NumSaturatedHeterocycles","NumSaturatedRings","RingCount","MolLogP","MolMR","fr_Al_COO","fr_Al_OH","fr_Al_OH_noTert","fr_ArN","fr_Ar_COO","fr_Ar_N","fr_Ar_NH","fr_Ar_OH","fr_COO","fr_COO2","fr_C_O","fr_C_O_noCOO","fr_C_S","fr_HOCCN","fr_Imine","fr_NH0","fr_NH1","fr_NH2","fr_N_O","fr_Ndealkylation1","fr_Ndealkylation2","fr_Nhpyrrole","fr_SH","fr_aldehyde","fr_alkyl_carbamate","fr_alkyl_halide","fr_allylic_oxid","fr_amide","fr_amidine","fr_aniline","fr_aryl_methyl","fr_azide","fr_azo","fr_barbitur","fr_benzene","fr_benzodiazepine","fr_bicyclic","fr_diazo","fr_dihydropyridine","fr_epoxide","fr_ester","fr_ether","fr_furan","fr_guanido","fr_halogen","fr_hdrzine","fr_hdrzone","fr_imidazole","fr_imide","fr_isocyan","fr_isothiocyan","fr_ketone","fr_ketone_Topliss","fr_lactam","fr_lactone","fr_methoxy","fr_morpholine","fr_nitrile","fr_nitro","fr_nitro_arom","fr_nitro_arom_nonortho","fr_nitroso","fr_oxazole","fr_oxime","fr_para_hydroxylation","fr_phenol","fr_phenol_noOrthoHbond","fr_phos_acid","fr_phos_ester","fr_piperdine","fr_piperzine","fr_priamide","fr_prisulfonamd","fr_pyridine","fr_quatN","fr_sulfide","fr_sulfonamd","fr_sulfone","fr_term_acetylene","fr_tetrazole","fr_thiazole","fr_thiocyan","fr_thiophene","fr_unbrch_alkane","fr_urea"
"1","C[S](O)(=O)=O","AFVFQIVMOAPDHO-UHFFFAOYSA-N","RB",1,9.1875,-3.66666666666667,9.1875,0.715277777777778,0.413620913968582,96.107,92.075,95.988114988,32,0,0.261427323149373,-0.285753246805259,0.285753246805259,0.261427323149373,1.6,1.6,1.6,4.0629422989714,90.0614708405289,4.5,2.67195846689155,3.48845504781927,2,0.924155809632252,2.77246742889676,0.733020099412352,2.19906029823706,0,0,0,0,-0.09,3.60964047443681,4.91,0.9479551135046,1760.99641975309,30.3678870378702,0,0,0,0,10.1181268590336,0,4.55274987369036,0,8.41779698432894,0,0,0,0,6.2557691835114,12.9705468580193,10.1181268590336,0,0,0,0,6.2557691835114,0,0,0,0,0,0,0,19.2263160415307,10.1181268590336,0,0,0,0,0,0,54.37,10.1181268590336,8.41779698432894,0,0,6.2557691835114,0,0,0,0,0,4.55274987369036,0,-3.66666666666667,0,0,0,0,0,0,25.8680555555556,0.715277777777778,1,5,1,3,0,0,0,0,0,0,2,1,4,0,0,0,0,0,-0.496,17.4726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","OC(=O)c1ccccc1[N+]([O-])=O","SLAMLWHELXOEJZ-UHFFFAOYSA-N","RB",1,10.4217592592593,-1.28953703703704,10.4217592592593,0.289351851851851,0.531152286958236,167.12,162.08,167.02185764,62,0,0.342224966886221,-0.477454809196634,0.477454809196634,0.342224966886221,1.41666666666667,2,2.41666666666667,3.26707619570377,300.933190204761,9.13782820150469,5.92857313915001,5.92857313915001,5.62589765768623,3.09383638159163,3.09383638159163,2.07941140792741,2.07941140792741,1.33115471048492,1.33115471048492,0.813695481423769,0.813695481423769,-1.91,475.348829004198,8.18910802775025,2.99667013888714,1.39237708260505,67.4050768086331,5.10652739484071,5.563451491697,0,0,5.68738627468356,5.96930528795185,10.1143182687656,4.79453718407182,0,0,12.1327341369232,6.06636706846161,6.06636706846161,4.92331104881767,14.8243756277302,11.6566915626354,0,0,0,0,0,39.943238034309,0,0,0,5.68738627468356,0,0,15.9991437316102,0,10.1143182687656,10.3579886757688,24.2654682738464,0,0,0,80.44,10.8926163367695,14.9088554528374,0,11.2508377663806,0,6.06636706846161,18.1991012053848,0,0,0,5.10652739484071,0,0,0,0,0,0,0,0,0,42,0,12,1,5,0,0,0,1,0,1,3,1,5,2,0,0,0,1,1.293,40.0557,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","CC(C)=CCC\C(C)=C/C=O","WTEVQBCEXWBHNA-YFHOEESVSA-N","RB",1,10.02049760645,0.845089758125472,10.02049760645,0.845089758125472,0.343706462400245,152.237,136.109,152.120115132,62,0,0.142280851774948,-0.298565661342729,0.298565661342729,0.142280851774948,1.27272727272727,1.90909090909091,2.36363636363636,3.62575966036879,171.311798612845,8.69023444431199,7.55451266040584,7.55451266040584,5.16390246014701,3.90818754397561,3.90818754397561,2.96925164959101,2.96925164959101,1.44382017096448,1.44382017096448,0.788002056384035,0.788002056384035,-0.85,203.695061759036,10.15,5.89935086995559,7.04235575294516,68.8060460930743,0,6.28616052312956,0,0,0,0,4.79453718407182,0,0,0,17.2222291669724,39.6888749517578,0,0,4.79453718407182,6.28616052312956,0,0,0,33.6128548449239,0,23.2982492738063,0,0,0,0,0,0,6.28616052312956,4.79453718407182,0,33.6128548449239,23.2982492738063,0,0,0,17.07,0,4.79453718407182,0,0,0,24.7009082990508,5.57310453006927,6.07602010683388,6.92373719969062,19.9234945062151,0,0,0,0,0,0,0,0,0,0,25.3333333333333,0.5,11,0,1,0,0,0,0,0,0,1,0,1,4,0,0,0,0,2.878,48.486,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","CCCCCCCC\C=C/CCCCCCCC(=O)OC","QYDYPVFESGNLHU-KHPPLWFESA-N","RB",1,10.9143527907876,-0.0762708929513309,10.9143527907876,0.0762708929513309,0.204273257272918,296.495,260.207,296.271530392,124,0,0.305001838856364,-0.468995427820592,0.468995427820592,0.305001838856364,0.761904761904762,1.23809523809524,1.76190476190476,3.09874638667037,245.950908466263,15.5981655493609,14.3706920559186,14.3706920559186,10.3080604124904,9.02698666696861,9.02698666696861,5.91042130907347,5.91042130907347,3.87037342221645,3.87037342221645,2.44213946707904,2.44213946707904,-0.79,40352.157883651,20.21,17.2620562207184,17.1581007623247,131.893673384335,4.73686295380005,0,0,0,0,5.96930528795185,4.79453718407182,0,0,0,70.4423503967665,32.1041081146301,6.42082162292601,7.10979754127753,9.53140013787187,5.96930528795185,0,0,0,96.8152399206548,7.10979754127753,12.1520402136678,0,0,0,0,0,0,13.0791028292294,9.53140013787187,0,96.8152399206548,12.1520402136678,0,0,0,26.3,0,4.79453718407182,0,5.96930528795185,6.42082162292601,12.841643245852,77.7388353934637,0,0,23.8126403671584,0,0,0,0,0,0,0,0,0,0,41.1666666666667,0.842105263157895,21,0,2,0,0,0,0,0,0,2,0,2,15,0,0,0,0,6.19690000000001,91.4680000000001,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
"5","COC(=O)C(C)=C","VVQNEPGJFQJSBK-UHFFFAOYSA-N","RB",1,10.1898148148148,-0.347222222222222,10.1898148148148,0.347222222222222,0.358508150390123,100.117,92.053,100.052429496,40,0,0.332326984717009,-0.465674779252167,0.465674779252167,0.332326984717009,1.71428571428571,2.14285714285714,2.14285714285714,3.57791992627244,94.2532766516348,5.8618073195658,4.52360336211427,4.52360336211427,3.18073921255262,1.920049971521,1.920049971521,1.27191170968711,1.27191170968711,0.533857118478637,0.533857118478637,0.174230856264669,0.174230856264669,-0.79,27.9770932969288,6.21,2.39452135535381,1.97775431861804,42.7844837827824,4.73686295380005,0,0,0,0,5.96930528795185,0,4.79453718407182,0,0,6.5789356835985,6.92373719969062,5.57310453006927,7.10979754127753,9.53140013787187,5.96930528795185,0,0,0,6.92373719969062,7.10979754127753,12.1520402136678,0,0,0,0,0,0,13.0791028292294,9.53140013787187,0,6.92373719969062,12.1520402136678,0,0,0,26.3,0,4.79453718407182,0,5.96930528795185,5.57310453006927,0,7.10979754127753,6.92373719969062,0,11.3157986373985,0,0,0,0,0,0,0,0,0,0,20.8333333333333,0.4,7,0,2,0,0,0,0,0,0,2,0,2,1,0,0,0,0,0.7355,26.83,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","CCOC(=O)\C=C\C(=O)OCC","IEPRKVQEAMIZSS-AATRIKPKSA-N","RB",1,10.6349532312925,-0.536524943310657,10.6349532312925,0.297617787855883,0.461643930727104,172.18,160.084,172.073558864,68,0,0.330495594726235,-0.46282200142496,0.46282200142496,0.330495594726235,1,1.33333333333333,1.58333333333333,3.72816040995672,163.496881765362,9.39734122549854,7.2019072626078,7.2019072626078,5.7019072626078,3.71874401501341,3.71874401501341,1.83742992457547,1.83742992457547,0.92869179176848,0.92869179176848,0.516825605217317,0.516825605217317,-1.32,374.037730459845,10.68,6.39399514651629,5.46375794003142,71.1543774555228,9.4737259076001,0,0,0,0,11.9386105759037,0,9.58907436814364,0,0,0,13.8474743993812,12.1520402136678,13.2137639290258,19.0628002757437,11.9386105759037,0,0,0,13.8474743993812,13.2137639290258,12.1520402136678,0,0,0,0,0,0,25.1523745049295,19.0628002757437,0,13.8474743993812,12.1520402136678,0,0,0,52.6,11.9386105759037,9.58907436814364,0,0,13.2137639290258,12.1520402136678,0,13.8474743993812,0,9.4737259076001,0,0,0,0,0,0,0,0,0,0,35.3333333333333,0.5,12,0,4,0,0,0,0,0,0,4,0,4,4,0,0,0,0,0.6688,42.406,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","CCCCCCCCCCCC[N+](C)(C)CC([O-])=O","DVEKCXOJTLDBFE-UHFFFAOYSA-N","RB",1,10.5702861422808,-0.947148841648058,10.5702861422808,0.122448979591837,0.381578900060951,271.445,238.181,271.251129296,114,0,0.1185186355764,-0.544115496365321,0.544115496365321,0.1185186355764,0.842105263157895,1.26315789473684,1.68421052631579,3.28454144051866,226.788822790044,14.5626316434282,13.2489915506663,13.2489915506663,8.97716239121621,7.99579118527728,7.99579118527728,6.3714411213433,6.3714411213433,3.67412536187548,3.67412536187548,2.45581435501217,2.45581435501217,-0.57,9344.79890912726,18.43,11.2729032770472,13.6594893861159,119.138943752817,14.3840954366072,6.54475640591258,0,0,0,0,0,0,0,0,58.2903101830987,12.841643245852,0,26.6094056592188,14.3840954366072,5.96930528795185,0,0,0,71.1319534289507,27.1848567771795,0,0,0,5.10652739484071,0,0,0,37.637192922826,4.79453718407182,0,71.1319534289507,0,0,0,0,40.13,5.96930528795185,9.90106457891253,0,6.54475640591258,4.48303085769462,12.9655780288386,57.7873946063341,0,14.0953439653544,6.92373719969062,0,0,0,0,0,0,0,0,0,0.541022901599825,40.6256437650668,0.9375,19,0,3,0,0,0,0,0,0,2,0,3,13,0,0,0,0,2.7336,78.6934000000001,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0
"8","CCCCCCCCCCCC(=O)NCCC[N+](C)(C)CC([O-])=O","MRUAUOIMASANKQ-UHFFFAOYSA-N","RB",1,11.732094440601,-1.03296378556356,11.732094440601,0.00634015180146119,0.345384351031674,342.524,304.22,342.288243076,142,0,0.219497633113442,-0.544115496335401,0.544115496335401,0.219497633113442,0.875,1.41666666666667,1.95833333333333,3.42741070661716,343.503601637374,18.2613022561775,16.0714534035032,16.0714534035032,11.3710092413336,9.65702211169575,9.65702211169575,7.47139415184994,7.47139415184994,4.32690960873342,4.32690960873342,2.84804441289472,2.84804441289472,-1.1,100460.02642682,22.9,14.2605790015056,15.7827062794378,147.945154379659,19.7008840406135,6.54475640591258,0,5.90717972935151,0,0,4.79453718407182,0,0,0,58.2903101830987,6.42082162292601,19.3863996517646,26.6094056592188,19.178632620679,11.8764850173034,0,5.31678860400633,0,77.5527750518768,33.7296131830921,0,0,0,10.423315998847,0,0,0,50.0891290580901,9.58907436814364,0,77.5527750518768,0,0,0,0,69.23,5.96930528795185,14.6956017629843,0,12.4519361352641,23.9933652924458,19.262464868778,44.9457513604821,0,14.0953439653544,12.240525803697,0,0,0,0,0,0,0,0,0,0.38537685008644,54.9479564832469,0.894736842105263,24,1,5,0,0,0,0,0,0,3,1,5,16,0,0,0,0,2.2399,96.3201000000001,1,0,0,0,0,0,0,0,1,1,2,2,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0
"9","OC/C=C/c1ccccc1","OOCCDEMITAIZTP-QPJJXVBHSA-N","RB",1,8.44076530612245,0.106045918367347,8.44076530612245,0.106045918367347,0.65221005153948,134.178,124.098,134.07316494,52,0,0.0615173815045316,-0.392295449193164,0.392295449193164,0.0615173815045316,1.2,1.9,2.5,2.67064548096016,201.228067981576,7.23420451868201,5.69577226101389,5.69577226101389,4.93185165257814,3.25716812693181,3.25716812693181,1.9956267154202,1.9956267154202,1.21528296667843,1.21528296667843,0.752937421067386,0.752937421067386,-1.08,251.667162343558,7.03210762331839,3.85402055150884,2.03378121268231,60.6308601826985,5.10652739484071,0,0,0,0,0,0,0,0,0,42.4838755559758,5.563451491697,0,6.60688196451292,5.10652739484071,6.07602010683388,0,0,0,0,6.60688196451292,41.9713069408389,0,0,0,0,0,0,11.7134093593536,0,0,5.563451491697,36.4078554491419,0,6.07602010683388,0,20.23,0,0,0,6.60688196451292,0,5.563451491697,0,6.07602010683388,36.4078554491419,0,5.10652739484071,0,0,0,0,0,0,0,0,0,23.1666666666667,0.111111111111111,10,1,1,0,0,0,1,0,1,1,1,1,2,0,0,0,1,1.6921,42.5618,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Oc1ccc(cc1)[S](O)(=O)=O","FEPBITJSIHRMRT-UHFFFAOYSA-N","RB",1,10.4180933484505,-4.13069444444444,10.4180933484505,0.0440740740740737,0.612437256786446,174.177,168.129,173.998679672,60,0,0.29401509590235,-0.507965533704972,0.507965533704972,0.29401509590235,1.09090909090909,1.54545454545455,1.90909090909091,3.20151593106649,337.349961995735,8.48312766312544,5.42857313915001,6.24506972007773,4.99901856563989,2.76500566719622,4.20506899599686,1.96896748997083,3.39050469041818,1.13458015318318,2.00246437029673,0.618107354891086,1.0981284644913,-1.07,230.734720096768,8.03070493454179,2.51929032067038,1.92397007423345,63.8542728817336,5.10652739484071,5.74951183328391,0,0,10.1181268590336,0,4.55274987369036,0,8.41779698432894,0,0,24.2654682738464,0,4.89548347551777,18.07707425286,10.1181268590336,0,0,0,4.89548347551777,0,24.2654682738464,0,5.74951183328391,0,0,5.74951183328391,0,18.07707425286,10.1181268590336,0,0,29.1609517493642,0,0,0,74.6,10.1181268590336,8.41779698432894,0,10.6449953088017,0,12.1327341369232,12.1327341369232,0,0,0,9.65927726853107,0,-4.13069444444444,0,0,0,0,0,0,29.3066496598639,13.0740447845805,0,11,2,4,0,0,0,1,0,1,3,2,5,1,0,0,0,1,0.6389,37.9214,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
